periode,kategori,total,qty
2024-04,ACC / PITA / KARET,3251552,568
2024-04,AMPIA,2457062,12
2024-04,ASBAK,1860828,139
2024-04,AYAKAN,197616,14
2024-04,BABY BATHUB,1113766,23
2024-04,BAKUL,1728397,131
2024-04,BANGKU / KURSI,39431666,460
2024-04,BASKOM,16517258,1120
2024-04,BATRE,2753480,289
2024-04,BINGKAI,886080,21
2024-04,BLENDER,19460361,83
2024-04,BOTOL,17152883,805
2024-04,BUNGA PLASTIK,253146,5
2024-04,BURNER,1804450,49
2024-04,CAKE PAN,708250,5
2024-04,CANGKIR,4187033,591
2024-04,CELEMEK,354735,12
2024-04,CELENGAN,810038,69
2024-04,CENTONG NASI,569843,39
2024-04,CERET,6221130,84
2024-04,CERMIN,2249735,104
2024-04,CETAKAN,5261437,454
2024-04,CHOPER,4494945.85,22
2024-04,CLING WRAP,288300,4
2024-04,COBEK,1241375,24
2024-04,CONTAINER,15907829,128
2024-04,CORONG,221834,49
2024-04,CUP,744452,55
2024-04,DISPENCER,16224919,88
2024-04,EMBER,3300310,77
2024-04,ESKAN,3990184,125
2024-04,GALON,559900,11
2024-04,GANTUNGAN HOOK,1009790,93
2024-04,GARPU,3605436,211
2024-04,GAS,1186075,58
2024-04,GAYUNG,3174036,346
2024-04,GELAS,29089816.36,3137
2024-04,GEMBOK,1476258,67
2024-04,GILINGAN,330528,2
2024-04,GUNTING,1651562,159
2024-04,HAIR DRYER,336326,2
2024-04,HANGER,6278851,305
2024-04,JAM DINDING,4448568,82
2024-04,JEPITAN,1610853,120
2024-04,JUICER,120396,2
2024-04,KAIN LAP,2199955,211
2024-04,KALO,2839470,508
2024-04,KAPSTOCK / GANTUNGAN BAJU,2648374,121
2024-04,KEMOCENG,896346,30
2024-04,KERANJANG,7162362,362
2024-04,KERTAS NASI,28750,1
2024-04,KESET,7298839,300
2024-04,KIPAS,52611162,249
2024-04,KNOP KOMPOR,180400,17
2024-04,KOCOKAN,621066,50
2024-04,KOMPOR GAS,33196336.5,102
2024-04,KOTAK,12691396,729
2024-04,KOTAK GABUS,107200,53
2024-04,KUALI,11075553,129
2024-04,KUAS,777162,72
2024-04,KUKUSAN,5115632.25,58
2024-04,LAMPU,11514876,307
2024-04,LEMARI,18212901,52
2024-04,LIGHTER,339540,65
2024-04,LOYANG,3317558,98
2024-04,LUMPANG,197300,2
2024-04,MANGKOK,16444435,1438
2024-04,MANTEL,672154,29
2024-04,MEJA,10241503.5,73
2024-04,MERCON,7033263,1910
2024-04,MIKA,243261,35
2024-04,MINUMAN,5588988,1058
2024-04,MIXER,2801120,9
2024-04,MUG,8162079,373
2024-04,NAMPAN,5872225,229
2024-04,OBENG,45050,5
2024-04,OVEN,4747510,2
2024-04,PAN GORENG,6673035,59
2024-04,PANCI,16781057,187
2024-04,PANGGANGAN,2301733,57
2024-04,PAPERBAG,814638,121
2024-04,PARUTAN,1075358,62
2024-04,PAYUNG,1788569,33
2024-04,PEELER,377079,39
2024-04,PEMBERSIH IKAN,49995,5
2024-04,PEMBUKA KALENG/BOTOL,192633,13
2024-04,PEMISAH TELUR,6980,5
2024-04,PENTOL PANCI,135489,35
2024-04,PERANGKAP NYAMUK,40992,1
2024-04,PERASAN,697652,13
2024-04,PERLENGKAPAN ULTAH,2729607,1166
2024-04,PEWANGI,1377035,80
2024-04,PINSET,45846,17
2024-04,PIPET,368417,48
2024-04,PIRING,28218597.52,2952
2024-04,PISAU,5054806,277
2024-04,POMPA,1273412,23
2024-04,POT,4485304,377
2024-04,PRASMANAN,11410555,46
